"country_code","AthleteCount"
"NOR","93"
"ESP","336"
"ITA","381"
"FRA","397"
"CHI","57"
"SUD","5"
"IRI","65"
"AZE","44"
"NED","285"
"AUS","489"
"USA","634"
"QAT","16"
"EGY","141"
"BEL","131"
"MAS","30"
"SGP","23"
"MDV","4"
"KSA","33"
"GER","418"
"UZB","67"
"INA","28"
"KAZ","97"
"BRN","33"
"JPN","614"
"ETH","37"
"CAN","386"
"MLT","6"
"SRI","9"
"MAR","46"
"AUT","76"
"MTN","2"
"ROC","342"
"BRA","319"
"LBA","4"
"NRU","2"
"SUI","116"
"RSA","181"
"GUY","7"
"GEO","35"
"POR","93"
"JOR","14"
"PLE","5"
"IND","126"
"CYP","15"
"NGR","53"
"TUN","63"
"SRB","87"
"MEX","162"
"COL","69"
"ESA","5"
"ROU","104"
"POL","218"
"FSM","3"
"NZL","228"
"TUR","107"
"SWE","136"
"GBR","392"
"HUN","172"
"LTU","42"
"PUR","37"
"ANG","20"
"CGO","3"
"MON","6"
"RWA","5"
"KEN","87"
"ARM","17"
"SAM","8"
"BRU","2"
"BAN","6"
"KOR","238"
"BEN","7"
"CIV","31"
"TTO","33"
"CHN","421"
"SEN","9"
"ALG","41"
"TJK","10"
"PAK","10"
"KGZ","16"
"LAT","33"
"OMA","5"
"KUW","10"
"IRQ","3"
"EOR","29"
"YEM","5"
"ISR","90"
"CUB","69"
"ARG","189"
"UKR","153"
"UAE","5"
"NIG","7"
"DJI","4"
"SOM","2"
"BUL","42"
"BER","2"
"IRL","125"
"JAM","61"
"EST","33"
"PAR","8"
"CRC","14"
"DOM","66"
"HON","27"
"CPV","6"
"GRE","82"
"VEN","43"
"UGA","25"
"PER","35"
"BLR","103"
"SMR","5"
"GHA","14"
"ECU","47"
"BOT","14"
"BAH","16"
"DEN","108"
"PHI","19"
"GUM","5"
"MAD","6"
"HAI","6"
"CZE","115"
"MNE","35"
"AFG","5"
"URU","11"
"PAN","10"
"FIN","45"
"CMR","12"
"SYR","6"
"TKM","9"
"HKG","44"
"TOG","4"
"SEY","5"
"MGL","43"
"SLO","53"
"GUI","5"
"SVK","41"
"FIJ","32"
"ZAM","30"
"NCA","8"
"SLE","4"
"GUA","24"
"PNG","8"
"GAM","4"
"LBN","6"
"COK","6"
"BAR","8"
"LUX","12"
"MDA","20"
"NEP","5"
"CRO","60"
"KIR","3"
"MKD","8"
"MAW","5"
"COD","7"
"LAO","4"
"THA","41"
"VIN","3"
"ALB","9"
"GBS","4"
"BOL","5"
"BIH","7"
"TPE","68"
"LCA","5"
"PLW","3"
"MRI","8"
"SKN","2"
"CAY","5"
"ASA","6"
"BIZ","3"
"VAN","3"
"STP","3"
"TLS","3"
"ISV","4"
"ERI","13"
"MLI","4"
"BUR","7"
"TGA","6"
"NAM","11"
"VIE","18"
"SWZ","4"
"AND","2"
"ARU","3"
"COM","3"
"GEQ","3"
"LBR","3"
"GRN","6"
"SOL","3"
"MHL","2"
"BDI","6"
"TAN","3"
"GAB","5"
"KOS","11"
"ANT","6"
"MOZ","10"
"ISL","4"
"SSD","2"
"LIE","5"
"CAM","3"
"CHA","3"
"BHU","4"
"ZIM","5"
"LES","2"
"DMA","2"
"TUV","2"
"IVB","3"
"CAF","2"
"MYA","2"
"SUR","3"
